_t,s0
4,.1525435677500116
2,.4994215203919197
4,.1525435677500116
4,.1525435677500116
3,.2686944276691817
1,.8200008869171143
3,.2686944276691817
2,.4994215203919197
1,.8200008869171143
1,.8200008869171143
7,0.043450015
2,.4994215203919197
3,.2686944276691817
2,.4994215203919197
4,.1525435677500116
3,.2686944276691817
3,.2686944276691817
4,.1525435677500116
5,0.099905631
2,.4994215203919197
2,.4994215203919197
1,.8200008869171143
1,.8200008869171143
4,.1525435677500116
6,0.067220642
2,.4994215203919197
1,.8200008869171143
3,.2686944276691817
2,.4994215203919197
3,.2686944276691817
5,0.099905631
2,.4994215203919197
9,0.024040836
4,.1525435677500116
6,0.067220642
4,.1525435677500116
3,.2686944276691817
2,.4994215203919197
1,.8200008869171143
2,.4994215203919197
3,.2686944276691817
7,0.043450015
3,.2686944276691817
1,.8200008869171143
5,0.099905631
17,0.003350035
2,.4994215203919197
2,.4994215203919197
3,.2686944276691817
2,.4994215203919197
2,.4994215203919197
2,.4994215203919197
14,0.006586017
3,.2686944276691817
3,.2686944276691817
4,.1525435677500116
4,.1525435677500116
1,.8200008869171143
2,.4994215203919197
3,.2686944276691817
3,.2686944276691817
4,.1525435677500116
3,.2686944276691817
2,.4994215203919197
2,.4994215203919197
4,.1525435677500116
3,.2686944276691817
2,.4994215203919197
6,0.067220642
2,.4994215203919197
3,.2686944276691817
2,.4994215203919197
5,0.099905631
1,.8200008869171143
2,.4994215203919197
2,.4994215203919197
3,.2686944276691817
9,0.024040836
2,.4994215203919197
2,.4994215203919197
5,0.099905631
9,0.024040836
1,.8200008869171143
3,.2686944276691817
2,.4994215203919197
10,0.020515391
2,.4994215203919197
7,0.043450015
3,.2686944276691817
3,.2686944276691817
2,.4994215203919197
3,.2686944276691817
2,.4994215203919197
2,.4994215203919197
1,.8200008869171143
7,0.043450015
4,.1525435677500116
4,.1525435677500116
13,0.00952889
3,.2686944276691817
4,.1525435677500116
5,0.099905631
2,.4994215203919197
1,.8200008869171143
2,.4994215203919197
1,.8200008869171143
4,.1525435677500116
5,0.099905631
15,0.004864246
2,.4994215203919197
3,.2686944276691817
2,.4994215203919197
4,.1525435677500116
4,.1525435677500116
5,0.099905631
4,.1525435677500116
7,0.043450015
3,.2686944276691817
4,.1525435677500116
4,.1525435677500116
2,.4994215203919197
2,.4994215203919197
3,.2686944276691817
3,.2686944276691817
3,.2686944276691817
2,.4994215203919197
3,.2686944276691817
7,0.043450015
2,.4994215203919197
7,0.043450015
4,.1525435677500116
8,0.030849274
3,.2686944276691817
6,0.067220642
3,.2686944276691817
1,.8200008869171143
3,.2686944276691817
52,0
2,.4994215203919197
15,0.004864246
1,.8200008869171143
